tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
TI,9419284883,Miguel González,21081981,47,47,47,68
CC,1484792536,Carlos García,01121980,99,31,99,86
CE,8728354700,Ana Rodríguez,22011981,94,21,94,91
CC,4111354345,Melissa González,28091981,73,78,73,15
TI,5009123513,Daniela Cifuentes,15031981,47,41,47,88
TI,9305404980,David Cartagena,04091981,44,40,44,75
CC,2196207745,Gabriela Murillo,19021981,18,29,18,41
CE,5685687125,Carlos Perez,24071981,50,43,50,35
CE,3736692842,Laura Rodríguez,20041981,17,4,17,16
CE,6702570699,Luis Castaneda,14071981,41,100,41,75
CC,8897202431,Miguel Castaneda,22071981,68,24,68,83
TI,8967776404,Miguel Castaneda,11031981,70,45,70,58
CC,6263768992,Melissa González,15011981,97,74,97,13
TI,9494350195,Manuela Hernández,27081981,88,51,88,54
CC,6262515612,David Murillo,04111981,68,25,68,43
CC,2041614292,David Cartagena,02021981,20,43,20,2
CE,3905155437,Marcela Cifuentes,19051981,91,20,91,13
CE,7738423890,David Cifuentes,03111981,15,20,15,32
CC,0881414476,Carlos Cartagena,09071981,47,4,47,2
CC,8216007262,Laura García,25061981,54,44,54,11
CE,7683608678,María Martínez,04121980,94,92,94,35
CC,0020681710,Miguel González,07071981,19,79,19,34
CC,5086196715,Miguel Murillo,20081981,25,32,25,32
TI,4578722273,Daniela García,05061981,13,4,13,52
CC,2283563148,Laura López,01121980,27,16,27,26
CC,6324871068,Ana Perez,15071981,76,25,76,99
TI,2603900390,Luis Perez,22031981,52,43,52,15
TI,6429308168,David Cifuentes,03081981,70,13,70,92
TI,6616067142,David Cartagena,24091981,66,75,66,30
TI,1296449089,David García,12021981,27,3,27,88
TI,1417143437,Miguel Hurtado,22011981,66,77,66,99
TI,3987274900,Manuela López,23111980,81,13,81,6
TI,7688082115,Carlos Castaneda,24021981,18,10,18,20
TI,9706776240,Sofía López,13021981,13,16,13,6
TI,5726139766,Juan González,14031981,19,47,19,100
CC,5642039412,Ana Cartagena,24011981,81,4,81,88
TI,0245825580,Laura Cartagena,18101981,70,1,70,19
CC,4337600853,María Cifuentes,02121980,86,22,86,32
CC,4250053731,Carlos Hurtado,15021981,73,74,73,67
TI,1452205365,Sofía Castaneda,14041981,95,30,95,22
CE,4300752894,Manuela Cifuentes,11081981,86,22,86,40
CC,8464532825,Laura Murillo,22081981,94,40,94,1
TI,4507966442,Daniela Rodríguez,02041980,66,100,66,90
CC,7550171683,Luis Murillo,17041980,70,4,70,43
CE,6665747003,Sofía Hurtado,16071980,25,32,25,26
CE,9460238259,Marcela Castaneda,21061980,44,24,44,45
CE,5776042174,Daniela García,17111980,95,29,95,68
CE,5465352865,Manuela Hurtado,14071980,19,100,19,93
TI,5733084023,Marcela Cifuentes,23111979,8,53,8,52
CE,6608819914,Juan Martínez,11091980,15,40,15,94
CC,1585492149,Miguel González,10111980,81,98,81,75
TI,6050272493,Manuela Hurtado,09011980,17,93,17,55
TI,7252478333,Daniela Perez,17101980,94,60,94,87
CE,9966369812,María González,25051980,88,60,88,36
CE,8495260163,Gabriela Murillo,23031980,13,52,13,34
CC,2414004407,Melissa Cifuentes,14061980,15,79,15,21
CE,7965698213,Juan Cifuentes,09101980,25,44,25,16
CE,0039960163,Daniela Hurtado,16101980,81,83,81,20
CE,2724136738,David Cifuentes,26111979,76,10,76,74
CE,0059622587,Ana López,18081980,54,93,54,26
CC,5106426410,Miguel Hurtado,27111979,86,97,86,42
TI,9998612882,Ana González,12101980,73,67,73,15
CC,6912983828,Carlos Rodríguez,03051980,13,32,13,47
CC,2902173974,Juan Murillo,22041980,91,68,91,35
TI,6713931752,Juan López,06061980,99,98,99,95
CE,1711876353,Laura Rodríguez,02061980,66,87,66,75
CE,7975602077,David Hernández,24071980,52,53,52,98
CC,4055718060,Sofía López,14021980,47,74,47,3
CC,6474061585,Carlos Murillo,17041980,27,3,27,98
TI,6327163213,Gabriela López,11011980,66,74,66,95
CE,2985732583,Marcela Martínez,19041980,52,47,52,42
CC,4076861860,Gabriela López,20051980,54,74,54,94
CC,1588175872,Manuela Murillo,09041980,68,38,68,3
TI,3420109034,Daniela García,28101980,76,93,76,47
CE,3360123713,Carlos López,24051980,76,3,76,34
CE,1307082189,Laura Hurtado,09071980,15,93,15,87
CE,0627770163,Luis González,28031980,5,55,5,22
TI,9099769776,Sofía Hernández,06041980,18,31,18,16
TI,9659082054,Daniela Cifuentes,25071980,94,35,94,55
CC,0733359172,María Cifuentes,03021980,66,47,66,30
CC,0497545675,Ana Murillo,07021980,95,11,95,91
CE,6647116359,Miguel Cartagena,27031980,5,31,5,78
CE,6485838847,Laura Cifuentes,11081980,70,29,70,34
CE,0794813138,Daniela García,11021980,8,34,8,42
TI,2935941651,Melissa Hurtado,01051980,94,16,94,58
CC,5375641273,Laura Castaneda,06091980,41,41,41,91
TI,0259280014,Ana González,21111980,85,51,85,24
CC,4902488216,Laura Martínez,06041979,63,50,63,15
CC,5577856002,Luis García,09011979,19,31,19,40
TI,7104915162,Miguel Cifuentes,05041979,54,83,54,50
TI,0264246742,Sofía Castaneda,26061979,25,50,25,41
TI,0625274009,Sofía González,18041979,85,58,85,19
TI,8464075702,Laura Castaneda,08111979,50,81,50,52
CC,1627173631,Laura Hurtado,24091979,17,67,17,22
CE,4626250843,Juan González,11051979,73,99,73,30
TI,2262630702,Marcela Hurtado,08081979,27,59,27,3
CC,1130688045,Laura Castaneda,19031979,94,6,94,15
CC,1031642996,Juan Hurtado,26071979,23,50,23,44
TI,8748826880,Carlos García,24081979,19,87,19,51
CC,2271759229,Laura Castaneda,03111979,52,67,52,88
CE,3380264457,Gabriela Murillo,06011979,41,6,41,52
TI,9101766877,Sofía Hurtado,17071979,70,97,70,83
TI,7252770269,Juan Perez,26011979,27,19,27,41
CC,4259302806,Daniela González,14061979,66,99,66,88
CE,9364334560,María Murillo,08121978,50,25,50,68
TI,2109962330,Ana Rodríguez,25041979,73,50,73,38
CE,8334649101,Melissa López,10111979,27,98,27,16
CE,3543015611,Juan Hurtado,28071979,76,36,76,42
CE,2012057285,Marcela López,23111978,70,54,70,67
TI,4223925235,Luis González,09071979,13,43,13,60
TI,7746465908,Sofía González,18011979,94,67,94,44
CC,6658048140,Ana Castaneda,05041979,25,6,25,19
CC,7624069486,Ana Hernández,09071979,95,44,95,94
CC,5472452214,María Hurtado,25021979,17,98,17,44
CE,0725969085,Sofía Cartagena,20061979,63,94,63,21
CE,2293133570,Gabriela Hurtado,28121978,97,59,97,34
CC,1196818881,Juan Castaneda,06081979,73,38,73,38
TI,8186436796,Daniela López,12021979,5,86,5,43
TI,9340593781,Luis González,19011979,5,83,5,92
CE,3856319486,María Martínez,22071979,20,40,20,34
CC,8388707964,Gabriela Rodríguez,15011979,50,73,50,75
CE,4569196281,Miguel Murillo,16071979,76,65,76,75
CE,9892014400,Melissa López,19031979,66,36,66,67
CE,4035418709,Luis Hurtado,13101979,47,41,47,52
CC,3989518360,Juan Cartagena,27111978,94,3,94,44
CE,8221388710,Ana González,28041979,50,97,50,26
CE,1897328444,Marcela Hernández,08021979,20,73,20,67
CE,8845795974,Gabriela González,16121978,73,81,73,43
CE,1975361039,María Cifuentes,25111978,76,98,76,73
CC,0028134626,Ana Hernández,15041979,23,81,23,13
TI,8861636477,María Hernández,05111979,15,65,15,45
CE,2316185605,Miguel Hurtado,16021979,13,97,13,97
CC,1065198246,David López,04061979,8,75,8,30
CC,4945309921,Manuela Perez,10101979,63,4,63,21
CE,4074931742,Juan Rodríguez,10021978,19,67,19,20
CC,2165621795,Marcela Hurtado,02101978,5,36,5,45
CE,1080466787,David Perez,01121977,25,47,25,90
CC,7290219820,David Perez,20111978,88,79,88,100
TI,4996233686,Ana López,12021978,81,41,81,93
TI,2040238033,Laura Cifuentes,17121977,15,92,15,38
CE,8325565668,Juan Castaneda,01011978,63,62,63,52
TI,5497813969,Daniela Rodríguez,03071978,73,38,73,11
TI,1873507029,Ana Perez,17011978,18,95,18,50
CC,6572000829,Manuela Perez,15061978,76,78,76,77
CC,9236664515,Melissa Perez,07051978,66,32,66,29
CC,5100802676,Melissa Perez,20121977,27,94,27,1
CC,4447491203,Carlos Perez,11101978,19,19,19,74
CE,9716783104,Manuela Castaneda,17011978,52,22,52,99
CE,6737022498,Daniela Murillo,05041978,76,40,76,38
TI,8140317025,Gabriela Hurtado,15011978,73,59,73,99
TI,1760637668,Juan López,18011978,18,41,18,73
CE,3609248379,Miguel Murillo,28101978,19,10,19,86
TI,7154494588,María Cifuentes,23071978,88,86,88,6
TI,5764100179,Melissa Murillo,10081978,18,51,18,4
CE,3021017751,David Perez,19021978,41,95,41,68
TI,9807286891,Sofía Castaneda,24121977,13,43,13,77
TI,8640265311,Juan Cartagena,11121977,19,24,19,73
CE,5442852816,Carlos Perez,04111978,81,16,81,92
CC,8531416447,María García,28031978,97,86,97,36
CE,8519422871,Carlos González,28101978,73,16,73,11
CC,9904629974,María Murillo,01101978,27,24,27,34
CE,3816395167,Carlos Hurtado,18121977,97,98,97,13
CC,2493490529,Luis Perez,24101978,20,75,20,93
CE,1799538290,Marcela López,24121977,47,29,47,77
CE,7444225119,María Castaneda,11051978,86,100,86,13
TI,1006362976,Miguel Rodríguez,15041978,81,44,81,32
CE,0291229862,David Hernández,14081978,15,86,15,53
CE,0407162770,Laura Cartagena,16081978,63,87,63,79
CE,4901891672,Laura González,03071978,91,67,91,30
CC,1869714362,Sofía Castaneda,10091978,76,21,76,31
TI,3018734140,David Hernández,10081978,86,36,86,83
CC,4664420626,Juan Castaneda,18101978,76,79,76,100
CC,8568590709,Juan García,19081978,13,54,13,91
TI,2124576010,Daniela Perez,26071978,47,36,47,32
TI,4846363536,Melissa Murillo,07091978,99,78,99,87
TI,1628686674,David Cartagena,01041978,50,52,50,26
CC,2415990551,Miguel Hernández,20111978,63,92,63,2
TI,2205615005,Sofía Cifuentes,16041978,86,77,86,36
CC,6151608398,María Cifuentes,01051978,95,24,95,4
CC,1395946362,Daniela Castaneda,04011978,8,30,8,1
CE,4373332569,David Cartagena,07121977,70,53,70,10
CC,6995578066,David Martínez,11041978,81,24,81,60
CC,7295194200,Laura Murillo,26021978,13,92,13,54
CC,6971988034,Manuela González,21041978,97,1,97,36
CC,2550825421,Carlos Hurtado,18121977,94,83,94,97
CE,0543176774,Daniela López,12021978,54,44,54,1
TI,6404775404,Laura Perez,11081978,97,77,97,42
CE,0031696651,Luis Martínez,22041977,50,42,50,41
CE,5632554064,Luis Murillo,25031977,76,3,76,55
CE,3654019631,Carlos Murillo,23011977,66,73,66,55
TI,5184532056,Miguel Castaneda,12041977,44,62,44,77
CE,5312730036,Ana Hurtado,21021977,41,26,41,65
CE,0968741814,Ana Castaneda,23091977,41,20,41,98
CE,6433764990,Ana Cartagena,26041977,13,45,13,40
TI,0866034474,María López,19081977,11,31,11,94
CC,7669835270,Carlos Cartagena,25091977,11,13,11,53
TI,7717845601,Juan López,19021977,54,83,54,15
TI,7720800283,María López,02091977,47,1,47,75
CE,6147360222,Laura Murillo,11091977,94,15,94,68
TI,6218127087,Daniela Hernández,01011977,44,15,44,92
CC,5426229780,Miguel Rodríguez,07111977,5,86,5,26
TI,7471383646,Luis Murillo,17091977,44,78,44,91
CC,8884397319,Melissa García,04091977,76,94,76,90
CE,2338830676,Marcela Cartagena,01071977,47,54,47,6
CC,7284681219,Manuela Castaneda,15021977,97,24,97,91
CC,6604857709,Marcela Martínez,12071977,99,25,99,44
CC,1609499229,Manuela García,25081977,81,11,81,93
CE,0233190332,Luis González,12121976,18,65,18,34
CC,3477308715,Gabriela Murillo,04121976,81,25,81,98
TI,7205989737,Daniela Castaneda,20101977,85,45,85,36
TI,8298529667,Daniela Martínez,23051977,76,29,76,52
TI,8249462145,Ana Perez,25081977,11,54,11,86
CE,4295941346,Carlos López,27121976,27,99,27,62
TI,1934113955,Luis Rodríguez,01121976,85,68,85,43
CC,9257947847,Ana Hernández,18081977,76,98,76,34
TI,2909768680,Carlos Martínez,22051977,63,87,63,81
CC,0217179036,Juan Castaneda,04111977,63,47,63,30
CE,7179964592,Gabriela Martínez,25071977,47,100,47,81
CC,0914871691,Melissa López,20091977,15,43,15,20
CE,2100359224,Ana Cartagena,12111977,17,87,17,75
TI,2692475156,Laura Castaneda,24071977,97,87,97,52
CE,7747414045,Luis García,02071977,13,21,13,87
CE,7459038365,Laura Hurtado,07091977,91,51,91,73
TI,0184809322,Daniela López,19101977,54,1,54,47
CC,4870370120,Gabriela Cifuentes,04031977,50,47,50,88
CC,3922211752,David López,12101977,63,54,63,6
TI,5558152165,Luis Rodríguez,15051977,41,74,41,32
TI,2734837877,David Cifuentes,11121976,54,52,54,19
CE,6415057720,David González,15041977,97,74,97,98
TI,3422455302,Carlos López,22051977,27,6,27,74
TI,1212721002,Marcela Murillo,07031977,15,31,15,34
CC,5307349321,Manuela Perez,17041977,17,94,17,83
CE,9627297674,Gabriela Cartagena,25101977,68,35,68,15
CC,3543432838,Miguel Rodríguez,04061977,47,20,47,10
CE,0909154785,Laura Hurtado,09041977,13,6,13,32
CE,3428089276,Carlos Cartagena,01051977,76,95,76,10
TI,6845533580,María Rodríguez,02031977,68,58,68,59
TI,8689090987,María Rodríguez,02061977,41,24,41,41
CC,7849262990,Miguel Castaneda,18011977,99,47,99,67
TI,6408384358,Sofía Hernández,22091977,15,62,15,78
TI,0585475070,Laura Perez,22061977,73,1,73,77
TI,5070223988,Miguel Hurtado,25021976,47,47,47,19
CC,9367785721,Marcela Castaneda,07081976,18,100,18,78
TI,8064541471,Juan Martínez,17071976,19,81,19,81
CE,7297501628,Laura Cartagena,20071976,20,98,20,40
CE,9858847063,Melissa García,16021976,70,58,70,10
TI,6001607775,Luis Murillo,12061976,41,35,41,31
TI,2322431632,Ana Hernández,10041976,73,67,73,44
TI,7780073857,David García,27101976,76,98,76,52
CC,0666109252,Manuela García,15071976,17,94,17,6
CE,7075369388,Luis Martínez,21031976,5,54,5,55
CC,1195370052,Daniela Hurtado,23061976,76,44,76,65
TI,4915737213,David Hernández,05021976,73,40,73,35
CE,7320807426,Daniela González,26051976,95,100,95,21
TI,3217351433,David Cartagena,11031976,54,20,54,21
CC,6806922149,Luis López,13051976,50,75,50,3
CC,4936740638,Juan Murillo,19011976,91,53,91,43
TI,0308952483,Ana Cartagena,09011976,27,86,27,41
TI,7607692285,Luis Martínez,25101976,41,11,41,1
CE,4991812065,Carlos García,06111976,5,3,5,87
CC,7991233626,Carlos Perez,27051976,11,95,11,34
TI,3427359373,Manuela Martínez,06031976,94,83,94,44
CC,7306935113,María González,09021976,41,6,41,97
CE,0965283788,Marcela Murillo,04111976,19,52,19,88
CE,1011943581,Daniela González,25041976,52,92,52,62
CE,1658772315,Sofía Hurtado,25031976,52,35,52,2
CC,0309119874,Melissa Hurtado,16111976,27,99,27,44
CE,4378373010,Ana Martínez,03111976,5,25,5,22
CC,4210722623,David Hernández,15091976,5,15,5,52
TI,8052016737,Sofía Hernández,13121975,66,19,66,68
TI,6916708748,Marcela Hurtado,19021976,50,88,50,79
TI,6771216868,Luis Rodríguez,02081976,18,58,18,75
CC,1791018094,Luis Cifuentes,08071976,81,36,81,10
CC,2629317151,Laura Rodríguez,14101976,73,77,73,1
CC,6781194125,Melissa Cifuentes,22021976,20,44,20,88
CC,0422617855,Luis López,25031976,47,45,47,36
CE,3901959748,María Murillo,10011976,97,86,97,36
CC,0434493144,Miguel Perez,07021976,11,38,11,90
CC,7083127053,Gabriela Murillo,19121975,41,73,41,1
TI,7284799131,Daniela Hurtado,22041976,97,34,97,59
CE,5412638858,Daniela Rodríguez,05061976,70,25,70,53
CE,5309895571,Manuela Hurtado,27061976,76,31,76,88
TI,2967271143,Luis Rodríguez,05011976,20,88,20,100
TI,6657110551,Melissa Rodríguez,01011976,63,62,63,100
CE,8207343087,Sofía Perez,05091976,97,1,97,6
TI,6743875056,Sofía Cartagena,11041976,19,45,19,65
CC,1955932261,Daniela Martínez,15101976,63,93,63,2
TI,7082191760,Juan González,08101975,5,53,5,35
CE,1527983233,Manuela Hernández,23041975,19,86,19,60
TI,2213750510,Marcela Hurtado,18101975,88,81,88,78
CE,7043750433,María García,22111975,47,99,47,19
TI,5148339539,Marcela Murillo,16081975,41,77,41,53
CC,1192337282,Marcela Perez,15081975,76,6,76,43
CE,2609121658,Melissa Cartagena,12051975,47,75,47,52
CE,8318481252,Melissa González,07071975,81,26,81,44
CE,3012824763,Laura Hernández,17081975,27,2,27,41
CE,3291668684,Miguel López,02121974,54,42,54,90
CE,5417103277,Luis González,04021975,88,50,88,73
TI,7605063988,David Hernández,18121974,91,86,91,91
TI,6762806083,Daniela Murillo,22041975,8,100,8,11
CC,2050749823,David Cifuentes,04021975,19,30,19,21
CE,1320680351,Marcela Hernández,01051975,13,36,13,98
TI,0265685645,Sofía González,20121974,91,98,91,81
TI,5267168801,David Murillo,21011975,97,51,97,67
TI,7478458998,Daniela Rodríguez,24081975,5,11,5,16
CC,0595386544,Luis Cartagena,07051975,50,40,50,16
CC,5872731865,Miguel García,09011975,5,95,5,86
TI,1732318025,Juan Castaneda,16051975,27,10,27,47
CE,0593241625,Carlos López,05021975,8,15,8,15
TI,8029081206,Daniela Hurtado,05051975,27,90,27,55
TI,3359266004,Manuela González,05011975,13,97,13,87
CE,2074921119,Melissa Hurtado,07011975,91,92,91,34
CC,6421104605,David Cifuentes,08121974,44,1,44,31
CE,3822209081,Marcela Perez,24011975,70,58,70,92
CC,4409077356,Melissa Hurtado,22071975,13,93,13,31
CE,3473167583,Juan Cifuentes,21091975,99,50,99,83
CC,1817603163,Luis Rodríguez,07031975,47,62,47,42
CC,3516332136,Miguel Cartagena,21091975,52,1,52,58
CC,6462565611,Juan Martínez,17051975,76,95,76,74
CE,3521105627,María Rodríguez,21041975,17,15,17,75
CE,5380895400,María Cartagena,11051975,94,47,94,91
CC,6383676086,Juan Martínez,02061975,99,79,99,35
TI,9499524006,Sofía Perez,01091975,76,15,76,91
TI,9343179225,David Murillo,15081975,27,36,27,62
CE,2313262255,Laura Murillo,09041975,18,25,18,62
CC,0256066603,Sofía Rodríguez,28111974,76,32,76,29
CE,0867940363,Juan González,22061975,85,13,85,52
TI,3373502295,Miguel González,17021975,66,99,66,68
CE,6817895959,Laura Hurtado,10121974,15,20,15,21
CC,2491072720,Melissa Rodríguez,23011975,27,16,27,24
CE,1596152319,Carlos Murillo,10101975,11,20,11,47
TI,6124682631,Melissa Hernández,17091975,17,36,17,25
TI,5542418139,Sofía Cifuentes,27011975,54,93,54,22
TI,0112936747,Marcela Murillo,04011975,81,35,81,25
CE,2555594277,Gabriela Hurtado,07111975,86,32,86,13
CE,7559727704,María López,15091975,19,42,19,25
TI,4778402369,Carlos Murillo,14031975,19,83,19,88
TI,6119198440,Melissa López,21051975,20,19,20,16
CC,1766477164,María González,02081975,73,34,73,93
TI,5610108313,Melissa Murillo,23071975,27,35,27,1
CC,1424638510,Melissa Rodríguez,14041974,97,26,97,21
CE,2365337843,Sofía Perez,06051974,13,55,13,32
CE,8861443887,Manuela Murillo,06061974,97,24,97,43
TI,4718434612,David Hernández,19031974,20,24,20,47
CC,8960547192,Manuela Cartagena,10061974,23,68,23,79
CE,6614176509,Melissa Castaneda,25121973,15,2,15,58
CE,4015067730,Marcela Martínez,22011974,44,20,44,10
CE,7405702154,Daniela Cartagena,01041974,18,22,18,21
TI,5064077930,Marcela López,09091974,52,87,52,20
TI,1892991691,Sofía Perez,25051974,94,13,94,41
TI,4616310134,Melissa García,05021974,99,15,99,65
CE,9862629366,Marcela García,22081974,18,65,18,10
CC,1103526422,Luis García,01071974,95,42,95,16
CE,1001182398,María Hurtado,04051974,99,60,99,1
TI,0872756246,Miguel Murillo,28061974,50,92,50,19
CC,2278399465,Manuela López,23031974,15,77,15,100
CE,8181758077,Luis Hurtado,11091974,86,1,86,55
TI,9186130620,Melissa Cartagena,24041974,91,68,91,16
TI,4811796198,Melissa Hernández,20091974,20,88,20,62
CE,9763605009,Carlos Cartagena,22111974,13,98,13,52
CE,2602899187,Gabriela García,18081974,66,44,66,38
TI,9291361384,Luis Cartagena,24021974,76,55,76,1
CE,4680781712,Carlos López,07011974,70,10,70,20
TI,2768427834,Carlos Hurtado,17051974,18,19,18,50
CE,9712125226,Marcela López,07061974,18,30,18,93
CE,7884616864,Sofía Rodríguez,07021974,8,90,8,52
CC,3998360786,Carlos López,01041974,47,59,47,3
TI,3529710019,David Perez,14081974,52,34,52,2
CC,2614494021,Manuela García,10111974,15,60,15,44
TI,2183964457,Ana Castaneda,28101974,99,31,99,65
CE,7911221486,Manuela Cartagena,28121973,94,38,94,81
CE,5152589719,Marcela Murillo,18121973,18,10,18,58
TI,2148807372,Daniela López,03061974,27,41,27,100
TI,2425000812,David García,21081974,73,98,73,22
CE,6251365296,María Hurtado,21081974,97,38,97,78
CE,5215256538,Ana Hurtado,27011974,5,73,5,65
CC,6125553932,Laura Hurtado,05021974,63,67,63,35
TI,4131400990,Sofía Martínez,28061974,50,19,50,43
CC,5908088244,Miguel Hurtado,08111974,8,53,8,4
CC,5496337884,Luis García,26091974,23,97,23,54
CE,9840490114,Melissa Rodríguez,02041974,66,86,66,31
CC,9098082949,Luis López,18011974,15,68,15,94
TI,6007400450,María Cifuentes,02011974,85,100,85,24
CC,1433171539,María Hurtado,04081974,11,65,11,52
CC,1882552591,Daniela Hurtado,04081974,11,22,11,45
CE,4338120708,Daniela López,19071974,76,2,76,59
TI,5862226587,María García,06111974,88,67,88,3
CE,1196695466,Ana García,22021974,23,97,23,88
CE,0395542026,Gabriela González,13061974,15,32,15,60
CC,4084974218,Daniela López,02051974,91,50,91,22
TI,8832737973,Luis Castaneda,13121973,23,81,23,59
CC,8713338404,Gabriela López,27031974,27,65,27,91
CC,1288990374,Luis Hernández,13111974,17,86,17,6
CC,0182028476,Juan Castaneda,16101974,66,26,66,55
CC,8897809807,Gabriela Martínez,09021974,76,68,76,68
TI,3423304924,Manuela Perez,23041974,44,11,44,31
TI,6441478755,Marcela García,12041974,73,4,73,50
TI,5136010885,Laura Hernández,18121973,8,4,8,54
CE,4434141991,María Murillo,23051974,5,90,5,43
CC,9623029586,Daniela López,02031974,20,36,20,67
CC,6395138334,María Perez,17081973,50,41,50,74
CE,3478766334,Carlos Murillo,25061973,76,95,76,93
CC,1584548991,Carlos Hurtado,26101973,95,31,95,86
TI,1206938421,Manuela Cifuentes,11011973,73,24,73,55
CC,2226404876,Miguel Rodríguez,27071973,25,1,25,93
CC,5721306539,Marcela Cifuentes,19011973,88,67,88,91
TI,0642405940,Luis García,10011973,95,97,95,52
CE,2177840407,Laura Rodríguez,21101973,99,90,99,53
