tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
CE,6728588959,Luis Rodríguez,16091984,99,1,99,50,0
TI,1905416737,Juan García,01061957,97,16,97,51,0
TI,2362278232,Miguel González,27021998,17,53,17,100,1
TI,1041977778,Daniela Rodríguez,07111998,94,21,94,59,0
CE,7399490395,Daniela Hernández,24091999,25,41,25,94,0
CC,2317914659,Juan López,13101960,15,25,15,62,1
CC,2296877667,Laura Martínez,15011942,8,74,8,77,1
CC,5346328298,Melissa Rodríguez,12061936,8,32,8,60,1
CC,9438488271,Gabriela Cifuentes,11111987,11,47,11,55,0
CE,4545060102,María Murillo,04101966,41,20,41,26,0
CC,4235440777,David Cartagena,05011972,5,4,5,51,1
CE,1227652357,Daniela Hernández,07061966,70,88,70,88,1
TI,8082712960,Sofía Castaneda,24091973,99,100,99,1,1
TI,2227811572,Marcela García,21091995,15,53,15,78,1
CE,8657165602,Miguel Martínez,04021979,52,88,52,91,1
CE,1895869903,María Perez,28061992,15,65,15,59,0
CC,2607865205,Miguel Perez,07041956,20,99,20,99,0
TI,7608531629,María Hurtado,12091971,23,55,23,40,0
CC,8445001860,Ana Perez,05061924,47,95,47,45,1
CC,4108882441,Marcela Cartagena,02011996,8,99,8,16,1
CE,9702519734,Melissa Hurtado,04051991,94,62,94,30,1
TI,7359681101,Marcela López,25091928,15,38,15,73,0
CC,8755093309,Gabriela Perez,20101939,99,60,99,31,0
CC,2778169694,Juan González,06081975,19,2,19,94,0
CC,9583947154,Sofía Murillo,13121965,18,30,18,26,1
CC,0392091905,María Cifuentes,11031959,19,34,19,95,1
CC,8989092329,Manuela Cifuentes,17041972,44,83,44,32,1
CC,1902208310,Juan Murillo,07021940,52,25,52,22,1
CE,1340765199,Carlos García,13081943,17,59,17,54,1
CE,1462859726,Gabriela Cartagena,06051973,86,100,86,45,1
CC,6222802328,Gabriela García,16032008,85,38,85,83,1
TI,7511242824,Miguel González,23101957,52,60,52,97,0
TI,3182910014,Miguel Martínez,16102000,81,65,81,47,1
CE,8263869055,Carlos Cartagena,12111982,5,55,5,4,1
CE,4464795379,Ana Perez,01062004,52,40,52,1,0
CC,8757702720,Melissa García,16062004,95,90,95,98,1
TI,9385843714,Ana Cifuentes,22031980,68,19,68,94,1
CC,8770440190,Manuela Hernández,11011983,11,88,11,19,1
CE,0616873330,Melissa González,08011949,88,91,88,11,0
TI,2577973129,Laura López,16071932,99,79,99,52,1
TI,1770132287,Juan García,19071931,99,75,99,50,1
CE,0493984373,David García,04041964,50,41,50,44,1
CC,8633002766,Gabriela Rodríguez,21022000,18,22,18,24,1
CE,9653266361,Gabriela López,11101927,81,26,81,41,1
CC,8468666314,Sofía Murillo,17041925,8,86,8,22,1
CE,9878297467,Sofía Rodríguez,13031964,95,62,95,38,0
CE,9209054756,Ana Hernández,24041996,19,6,19,22,1
CC,7448784169,Carlos González,14111982,99,97,99,54,1
CE,4309038135,Carlos Martínez,11041937,23,1,23,60,0
CC,2585801823,Luis Rodríguez,06041958,41,99,41,75,1
CE,5097939929,Manuela Hurtado,05091949,50,91,50,42,0
CE,5960280219,Manuela Martínez,02122009,50,4,50,47,1
TI,1487590303,Carlos Hernández,14121941,17,40,17,87,0
CC,1963824297,Daniela González,19022009,15,32,15,30,1
CE,6799230189,Carlos Hernández,16061976,81,98,81,51,1
TI,1059812157,Juan Perez,27051924,11,97,11,1,1
TI,1397686309,Miguel Martínez,16051928,68,29,68,78,1
CE,2045866392,Juan Murillo,16061950,18,35,18,40,0
TI,7176272965,Marcela Hernández,25021986,76,32,76,13,0
CE,8495493534,Sofía Perez,12121949,68,60,68,47,0
TI,3980253037,Manuela Castaneda,03091953,54,3,54,97,1
TI,4235117894,David Murillo,22062000,85,59,85,31,0
CC,6633305149,María Cartagena,14031930,41,53,41,31,1
CE,7818309439,Juan Cartagena,28101978,97,1,97,73,0
CC,2796287574,María Cartagena,21031984,70,73,70,90,1
CC,8629385473,Ana Hernández,19052013,15,81,15,77,1
CC,9889187343,David Hurtado,06111924,95,25,95,19,1
CC,2737861405,Carlos Rodríguez,18081945,94,54,94,52,1
CC,9138594963,Melissa Castaneda,20061986,54,2,54,41,0
TI,6739999589,Marcela Hurtado,03081962,27,81,27,54,0
CE,3895230435,Manuela Murillo,04101974,66,83,66,92,1
TI,7637834090,Daniela Cifuentes,04081954,94,59,94,16,0
CE,0325635042,Laura Castaneda,09111982,47,83,47,10,0
CC,4439981605,Melissa Perez,19011993,17,73,17,68,0
CC,7983868765,Carlos Murillo,17091937,88,26,88,15,0
CC,9198399630,Manuela Cartagena,27011927,68,99,68,43,1
TI,6321763127,Melissa García,12061979,68,55,68,10,1
CE,1322599851,Miguel Cartagena,17121961,76,90,76,53,0
CC,1781672923,Miguel Cifuentes,17081931,27,94,27,73,0
CE,8019050172,Melissa Martínez,01061955,63,44,63,99,0
CC,0054927048,María López,21062021,17,34,17,10,0
CE,2475482471,Melissa Martínez,27121989,66,13,66,65,1
CC,7054354143,Gabriela Castaneda,09061936,95,67,95,75,0
CC,5005243580,Ana García,10022001,5,21,5,94,0
CC,9504389119,Gabriela Castaneda,14032007,85,13,85,81,0
CE,7307800327,Manuela Martínez,02111971,5,40,5,2,0
CE,3996409048,Marcela González,17031942,17,34,17,92,1
CC,4704825833,Miguel Rodríguez,13111970,68,65,68,11,0
CE,4534772707,Marcela Murillo,19041981,8,92,8,67,0
CE,1702204768,Sofía Cifuentes,24051982,44,59,44,6,0
TI,1794973712,Miguel Cartagena,10101959,5,99,5,58,0
CE,3316987736,Manuela Hurtado,09051936,88,91,88,26,0
CC,5516872957,María Cifuentes,09031995,23,15,23,50,1
TI,2652465416,Manuela Cartagena,26061960,73,16,73,16,0
TI,0258832779,Ana López,14031926,68,29,68,92,0
TI,0685541859,Marcela Perez,07061930,15,74,15,2,0
CC,2674327449,Daniela Hernández,01041980,44,38,44,65,0
TI,6175662117,Gabriela Hernández,03111936,11,91,11,92,1
TI,9121130773,Carlos García,12061924,50,59,50,97,1
CE,4882892529,Manuela Rodríguez,14101961,41,26,41,51,1
CC,1011798314,Laura González,06121974,15,99,15,26,1
TI,5132651831,María García,11041947,99,99,99,50,1
CE,9973292955,Juan González,25091971,17,40,17,24,0
TI,7710696444,Sofía Cifuentes,05011973,85,42,85,75,0
CC,5174525543,Carlos González,10041945,17,26,17,62,1
TI,1949879776,Ana Cartagena,14061958,25,42,25,31,1
CE,1397318946,Sofía Murillo,22111966,18,73,18,4,0
CC,3862331670,Carlos García,10071999,70,22,70,90,0
CE,6124432203,Daniela Murillo,18021982,41,94,41,31,0
CC,6569352659,Melissa Martínez,10051995,81,68,81,60,1
TI,5111448624,Miguel Castaneda,26011950,11,65,11,3,0
CE,8007246337,María González,26111946,19,94,19,78,1
TI,9408874370,Gabriela García,06092005,41,59,41,73,1
CE,6939832832,Laura López,16081942,66,26,66,54,0
CC,9001970414,Carlos Perez,16092014,73,15,73,52,1
CC,4534270332,Miguel Murillo,23111983,63,74,63,79,0
CE,0387575495,David Murillo,28031958,11,79,11,97,1
CC,1276806428,Daniela González,02082006,66,73,66,91,0
TI,5639690433,Sofía Hurtado,22021950,73,25,73,93,0
TI,0760395101,Luis García,15021945,44,95,44,92,1
CC,9516424912,Manuela Hurtado,17111978,76,41,76,52,0
CC,5982444861,David González,07031947,25,13,25,31,0
TI,2030694248,Sofía García,16081929,44,40,44,42,1
CE,8554597942,Daniela González,20041957,73,19,73,77,0
TI,2964833020,Daniela Cifuentes,17101970,66,43,66,55,0
CC,7102057955,Manuela González,04051924,85,100,85,3,1
CE,6734220896,Manuela Murillo,04102002,91,55,91,78,1
CE,9048369768,Manuela Murillo,20041988,81,50,81,42,0
CC,8952990516,Gabriela Murillo,25091926,5,78,5,44,0
TI,2716654445,Miguel Cifuentes,17111968,99,29,99,53,0
CC,7068852946,Laura Murillo,27111951,41,83,41,21,0
CC,8450007212,Manuela Cifuentes,24101924,18,83,18,41,0
CC,3305338502,Melissa Perez,24041954,70,75,70,92,0
TI,1720355906,Manuela Perez,03111953,94,79,94,36,0
TI,5145450603,Daniela Murillo,21031947,86,94,86,6,0
TI,4421376941,Manuela Hernández,24101993,47,53,47,2,0
TI,4915228424,Miguel Hernández,13111915,54,88,54,68,1
CC,8567779171,Sofía Murillo,15061965,54,83,54,62,0
CE,4203684680,Carlos Cifuentes,16102001,91,95,91,77,1
CE,9528652275,Laura González,12011963,52,40,52,79,1
CC,5943483955,Carlos García,26081966,47,35,47,16,1
CE,2865694612,Luis López,14081988,8,77,8,4,0
CC,1860352028,David García,03121959,5,11,5,53,1
CE,8119214297,Melissa Hurtado,20121992,13,53,13,93,0
TI,3886647708,Luis González,26071940,63,1,63,22,0
TI,9987090741,Manuela Castaneda,08041958,50,79,50,36,0
CE,3628523012,David González,15051961,19,11,19,79,1
CC,9706794657,Manuela Hernández,19091965,20,88,20,22,1
CE,6781149412,Gabriela García,27021995,54,38,54,24,1
TI,6453962169,Manuela Cifuentes,11071939,94,94,94,73,1
CE,5103556917,Carlos Cifuentes,18031939,85,50,85,99,0
CC,8108957740,Marcela Perez,02021958,20,88,20,81,0
TI,0222884532,Juan Hernández,12101941,50,13,50,53,0
CE,6326019330,Sofía Cifuentes,01012002,11,26,11,62,1
CE,8875944891,Juan López,11091990,94,79,94,77,1
CE,4148550657,Luis Hurtado,25032007,19,20,19,21,0
CE,4677725635,Juan López,22051958,52,75,52,15,0
CE,9263258346,Manuela Rodríguez,25031987,5,43,5,24,0
CC,1072168045,Manuela Martínez,17111924,13,4,13,25,1
CC,6680684515,María Cifuentes,15011923,15,62,15,6,0
CE,0619607501,Juan Hurtado,05111975,70,34,70,34,0
CC,6639350666,Daniela González,03042005,11,2,11,38,0
CC,7914150400,Carlos Castaneda,15031965,47,3,47,24,1
CE,0768311822,Juan Perez,03111941,54,100,54,42,1
CC,2246131970,Melissa Cartagena,07121933,11,74,11,20,1
CE,0962228288,Carlos Hernández,03081927,13,90,13,42,0
TI,2303768980,María Martínez,02071949,27,15,27,94,1
CE,5991144749,María Castaneda,05021992,18,97,18,50,1
CE,6655784860,Laura Murillo,12021925,11,15,11,26,0
CE,1158914269,Sofía Rodríguez,01061979,97,83,97,75,0
TI,1248333211,Miguel Castaneda,12062001,47,90,47,36,1
TI,0360545604,Gabriela Cartagena,17072009,97,16,97,83,0
TI,9705631456,Marcela Hernández,14121930,50,98,50,78,1
TI,9500680074,Gabriela Rodríguez,26071994,95,53,95,67,1
CC,0241131578,Marcela Martínez,15122006,54,45,54,83,0
CC,7843770820,Manuela Hernández,11041950,88,2,88,83,0
CE,1927081003,Marcela Hernández,11081961,68,68,68,59,0
CC,4440419175,Carlos Murillo,13081995,73,6,73,100,1
TI,9603687764,David Perez,25052003,25,90,25,90,1
CE,3400937404,Melissa Murillo,27011952,66,58,66,73,0
CC,6595719245,Melissa Murillo,02071986,73,62,73,22,0
TI,3058648321,Laura Hernández,26081967,15,38,15,73,0
TI,7357773745,Melissa Cartagena,10061958,19,36,19,43,0
CC,0392331136,Daniela Murillo,24121960,52,58,52,58,0
TI,6738939850,Miguel Murillo,04111981,86,55,86,6,1
TI,9422326109,Juan Castaneda,16031940,76,60,76,97,0
TI,2465437235,Ana García,26031947,86,36,86,79,1
TI,0007191098,Manuela Perez,18121985,11,10,11,58,0
CE,4420439069,Sofía Cartagena,23021926,95,19,95,62,1
CC,9758051982,Luis Hurtado,13051941,11,44,11,74,1
CC,2741005737,Laura Cartagena,16021974,66,40,66,29,0
CE,8347667422,Gabriela Murillo,20011994,99,93,99,99,1
TI,3960173397,Marcela Hernández,09031957,19,81,19,55,1
TI,3704542017,Luis Hernández,01011993,54,50,54,36,1
CE,4626730126,David Cartagena,26121946,8,44,8,59,0
CE,8557371444,Ana González,24111974,18,67,18,4,0
TI,2723758404,María López,14091931,11,1,11,53,0
CC,9909781999,Gabriela Castaneda,03022000,86,58,86,10,1
CE,1803826380,Luis García,20021983,50,79,50,59,0
CC,4248772270,Manuela García,07051936,44,99,44,42,1
CE,2830257826,David Hurtado,26101942,73,11,73,4,0
TI,0211000977,Miguel Cartagena,07011942,47,10,47,97,0
CE,7645134630,Miguel Murillo,20021989,23,11,23,90,0
TI,3205079908,María Castaneda,23021964,54,65,54,45,1
CC,1165080914,Melissa Perez,02111967,91,75,91,75,0
CC,4390233172,Juan Perez,13061939,70,32,70,43,0
TI,6526446952,María García,12061998,73,42,73,50,0
TI,1858725600,Luis Hernández,09011936,94,40,94,55,1
CE,6315130899,Juan Hurtado,10101932,19,77,19,53,0
CE,3911185366,Marcela Martínez,03101959,44,95,44,22,0
TI,5571987360,Carlos Perez,11101990,50,34,50,19,0
CE,7463180900,Laura Hurtado,25071963,86,1,86,16,0
TI,6641953205,Sofía Castaneda,22021926,66,93,66,19,0
CC,9738043827,Juan Hurtado,14121945,50,20,50,98,1
TI,9606395559,Melissa Perez,10081947,85,35,85,13,1
TI,5950094322,David Cartagena,15101982,81,16,81,2,0
CC,5873506032,María Hurtado,10081958,47,93,47,60,1
TI,4111505322,María González,08071981,81,94,81,26,1
CE,7546984622,David Hurtado,27061972,8,45,8,93,0
CE,3300439685,Carlos Cifuentes,01081951,17,62,17,55,0
CE,8485993319,Miguel González,17041989,95,26,95,97,0
TI,1966151106,Luis Martínez,07111957,54,81,54,43,1
TI,2014858189,Sofía Castaneda,15011967,5,38,5,41,0
CE,4819750867,Laura Murillo,07011925,94,4,94,16,0
CC,8253668104,Sofía Cartagena,17081981,20,79,20,81,1
CE,9181158020,David Murillo,19101956,97,34,97,98,0
TI,5926693259,Daniela Martínez,21011988,47,87,47,93,0
CE,2579838612,Marcela Rodríguez,26081935,17,34,17,87,0
CC,7053718776,Luis Perez,12011930,86,94,86,22,1
CC,8739058818,Miguel Cartagena,19031929,20,31,20,13,1
TI,1387157004,David Cartagena,19012003,70,88,70,15,0
TI,7494838624,David Hernández,08021965,13,50,13,58,1
CC,6470379940,Carlos Perez,24051967,47,11,47,6,1
CE,9340871283,Gabriela Hurtado,10101978,47,75,47,43,1
TI,0506345000,Melissa Cartagena,28071990,99,1,99,42,0
TI,2643198425,Carlos Perez,15092006,70,3,70,6,1
TI,1791655212,Manuela Martínez,11111986,68,15,68,79,0
CE,5350700785,Daniela Murillo,04031925,88,25,88,87,1
CC,9628315058,Laura López,17011960,13,25,13,65,0
CE,0084039445,María Castaneda,01111974,70,43,70,19,1
TI,9500585867,Manuela Hernández,23071925,68,31,68,40,1
CC,0891415396,Luis Cifuentes,27121944,85,31,85,36,1
CE,6350645663,David Perez,23031988,17,78,17,79,1
CE,1535445101,Marcela González,17051937,5,79,5,65,1
CC,0878082160,Gabriela Hurtado,28051994,11,100,11,92,1
TI,1070286428,Laura Hurtado,24032023,11,91,11,10,0
TI,4057596851,Ana Perez,27071952,8,75,8,11,1
CC,9768530390,Carlos García,22051981,23,58,23,2,1
CE,5270364561,María Perez,24051944,63,21,63,65,0
TI,5917736548,Luis Hurtado,01021929,8,25,8,11,1
TI,4855461807,Manuela Perez,09052005,73,83,73,78,1
CE,7885069862,Laura Hurtado,18122009,5,2,5,2,1
CC,0165971152,Laura Martínez,20011961,63,29,63,98,0
CE,4156047078,Ana Martínez,10091995,23,97,23,87,1
CC,6903335905,Luis López,11021928,86,20,86,62,1
CE,5434814149,Ana Hurtado,22071925,95,3,95,53,0
CC,2096140561,Melissa Cifuentes,25121961,68,87,68,44,1
CE,3220301600,Daniela Hurtado,03041984,97,91,97,38,0
CC,3684622988,Manuela Perez,16041987,5,52,5,13,0
CE,8255879644,Daniela González,14081957,63,6,63,20,1
CC,9755870547,Miguel Martínez,26111932,19,100,19,92,0
TI,9485926253,Luis Perez,24041955,99,32,99,47,1
TI,6822147332,Gabriela Rodríguez,23061924,5,55,5,4,0
CC,4210050161,Carlos Hernández,03111994,11,81,11,20,0
TI,3707111928,Manuela Castaneda,24031956,27,16,27,86,0
TI,8989274728,Melissa Hurtado,18082007,11,90,11,31,0
CC,9720146205,Daniela Perez,23041922,18,94,18,95,1
CC,5029012234,Laura Rodríguez,03111937,27,95,27,55,0
CC,5816520876,Marcela Cartagena,01021994,76,58,76,1,1
CC,5710657286,Sofía García,20081957,81,31,81,3,0
TI,6492435327,Carlos Cifuentes,01011926,27,51,27,100,0
CC,1393637875,Gabriela Hurtado,03061984,5,55,5,90,0
CC,6965220423,Carlos González,23041985,8,31,8,6,0
CE,4947335282,Marcela Cartagena,13111997,11,3,11,50,1
TI,4038718301,Manuela Cifuentes,08052012,15,38,15,99,0
TI,9834485571,David Hernández,25031938,20,6,20,67,0
TI,5176849892,Melissa Murillo,08051930,19,87,19,42,0
TI,6823709959,Marcela Hernández,04041996,86,35,86,11,1
TI,1961358868,Manuela Castaneda,05071957,88,78,88,38,0
CE,8805058052,Miguel Perez,01011953,52,91,52,65,0
TI,2015293799,Marcela Martínez,28082000,13,67,13,67,1
CC,5616979595,Juan Cifuentes,24082009,94,58,94,26,1
TI,4132512376,Miguel Castaneda,01011939,97,35,97,2,1
TI,3957012880,Marcela González,28061957,47,51,47,59,1
CC,7522472259,María Murillo,06122009,8,73,8,38,1
TI,8586967541,Manuela Hurtado,16071989,86,58,86,38,0
CE,0785203774,Sofía González,09081971,27,81,27,92,0
CE,4966071400,David García,13011956,25,35,25,29,1
CE,8634795796,Miguel Perez,16121943,25,47,25,62,0
CE,9291327932,Juan López,23111954,68,93,68,47,1
TI,8988768945,Carlos González,23111937,54,11,54,51,0
TI,5083870243,David García,05011989,73,73,73,68,0
TI,8605229341,Ana López,02021960,44,53,44,83,1
CE,8958803632,Daniela García,16081961,86,81,86,51,1
TI,7629426766,Carlos Hurtado,09061982,91,50,91,31,1
CC,4451699298,Melissa López,20011989,44,60,44,11,0
CE,0856936584,Marcela González,10021985,41,34,41,41,1
TI,3498748263,Laura Castaneda,25111952,41,34,41,42,0
CC,5522916104,David Hurtado,09111929,13,15,13,83,1
CE,6889450569,Laura Martínez,05081965,20,43,20,91,0
TI,8336280457,Gabriela Cartagena,13051981,76,75,76,40,0
CC,7168895739,Luis García,09111944,88,20,88,67,1
TI,8352790315,Miguel González,13031991,66,78,66,95,0
TI,1044675960,Miguel Castaneda,28091970,11,73,11,79,1
CC,0187596085,Laura Martínez,03101936,76,60,76,13,0
CE,3399975777,Carlos Cifuentes,20121963,20,53,20,75,0
CC,6778035254,Melissa González,19051933,70,21,70,36,0
TI,0899335666,Gabriela Castaneda,13061997,88,90,88,99,1
TI,1190261174,Miguel Cifuentes,15091958,50,55,50,93,1
TI,4916301658,David González,19021942,94,42,94,75,0
TI,0363811941,Manuela Rodríguez,18051980,91,10,91,68,1
TI,3177319916,Ana Murillo,18031934,63,91,63,100,0
CC,0088834604,David Perez,21051937,27,60,27,34,0
CE,6762832396,Miguel Cartagena,11121965,68,81,68,24,1
TI,5352940355,Luis Martínez,10021974,44,95,44,11,1
CC,3557319084,María Rodríguez,01091967,66,75,66,31,0
TI,5993530485,Manuela Hernández,12101965,18,98,18,35,0
CC,0282701220,Manuela Cartagena,26031948,50,65,50,51,0
TI,1305891860,Miguel Martínez,28061982,91,10,91,67,0
TI,1802820340,Marcela González,06031928,47,32,47,99,1
CE,6985705362,Marcela Martínez,16061924,47,10,47,55,0
CC,8225894225,Marcela Cifuentes,04071979,66,55,66,94,0
TI,0963564948,Daniela González,19062006,86,75,86,50,0
TI,3496294971,Manuela Perez,11031901,17,32,17,1,1
TI,5635767088,Laura García,28101956,73,22,73,58,1
TI,5586064985,Marcela Castaneda,22021930,27,11,27,15,0
CE,3822337260,Melissa Murillo,24062001,44,2,44,62,0
CE,4523407983,Daniela Rodríguez,18011996,63,32,63,95,0
CE,9961677325,Manuela Cartagena,09111985,17,2,17,1,0
CE,6992578592,Melissa Hurtado,15091982,25,83,25,16,1
CC,1058515611,Sofía Castaneda,09091989,8,26,8,38,1
CC,9892959382,Carlos González,13051974,76,77,76,81,0
CE,3657536898,Juan García,24061931,18,20,18,15,0
CE,9654638150,María Murillo,28111967,76,88,76,100,0
TI,7827231419,Sofía Perez,05021932,20,15,20,4,0
CC,8630469364,Carlos Cartagena,22111962,17,62,17,51,0
TI,3040296692,David Perez,12021920,44,44,44,29,1
TI,3724910699,Marcela Perez,09101936,44,77,44,99,1
TI,9848745783,Sofía Hernández,12031929,97,93,97,35,0
CC,3709536021,Marcela Rodríguez,14121965,91,59,91,11,1
CC,8216938514,Marcela Martínez,10071980,5,92,5,26,1
TI,0754889346,Ana Castaneda,25011955,66,95,66,25,0
CC,1580091128,Carlos López,25101949,18,45,18,6,1
CE,6233149122,Manuela Murillo,13041968,47,31,47,90,0
CE,1052731136,Laura Hurtado,06071947,95,92,95,60,0
CC,6634104920,Ana López,24122009,41,36,41,100,0
CE,9191661558,Miguel Murillo,19041992,52,65,52,81,0
CC,8193069550,María López,28031928,88,100,88,4,1
CC,0754514414,Marcela Perez,19032005,63,81,63,75,1
CE,8332860132,Juan Hurtado,12121989,95,67,95,42,0
CE,4308433440,Manuela Hernández,09081911,27,93,27,55,0
CE,7462724225,Gabriela Murillo,08021944,5,91,5,60,1
CE,1835008949,Melissa Castaneda,23061974,44,78,44,15,0
TI,0503410799,Laura Perez,27041998,99,99,99,74,0
TI,2559037973,Melissa Murillo,07051934,54,68,54,43,1
TI,0834088418,Luis García,18111992,81,19,81,100,0
CE,0200234331,Sofía Hernández,06121949,66,45,66,43,1
TI,0156240324,Juan Murillo,18051937,47,78,47,54,0
CE,0893682688,Marcela Hernández,10061953,18,52,18,2,0
TI,9538581605,David González,22041969,52,99,52,77,0
CE,1842110933,Laura Cartagena,21111928,23,1,23,6,1
CE,7291454862,Juan Hernández,13121975,97,42,97,81,1
CC,9521415311,Marcela Cifuentes,15071942,54,4,54,99,1
CE,5900704455,Luis Cartagena,14102007,88,2,88,97,1
CC,6199797911,Juan González,17111925,50,99,50,77,1
CC,0903924681,Sofía Murillo,14031962,66,90,66,11,0
CE,9646839988,David Cifuentes,22122003,19,75,19,91,0
CC,3089079619,David Castaneda,12121940,85,67,85,88,0
TI,8883375264,María Cifuentes,06122000,81,87,81,47,0
CC,9850806926,Daniela Rodríguez,15091990,63,67,63,21,1
TI,7545797056,María González,05081944,86,86,86,16,1
TI,5779582841,Daniela Cifuentes,24121963,85,45,85,30,0
CE,4820714328,Manuela Perez,28091982,73,44,73,24,0
CC,9141065209,Ana Rodríguez,28041970,47,29,47,58,0
CE,9411458227,Gabriela Rodríguez,08011984,44,59,44,51,1
CC,2196890942,María Castaneda,24011989,23,53,23,26,1
TI,6689725581,Sofía Rodríguez,09091960,23,88,23,67,1
CE,1630460868,Miguel Hurtado,20042002,11,26,11,22,1
CE,6509324543,David González,01051989,68,30,68,22,0
TI,7379499611,Melissa García,25031976,52,42,52,55,1
TI,8456581992,Miguel López,16111997,15,97,15,67,1
TI,9753640556,Ana Castaneda,15121934,95,26,95,40,0
TI,9478867340,Gabriela Murillo,01112017,25,22,25,35,0
CC,7146359392,Carlos Murillo,22031971,88,93,88,42,1
CE,5004425482,David Martínez,24091948,11,81,11,13,1
TI,1016569142,Juan Hurtado,08041978,99,74,99,19,1
CC,3544066827,Gabriela Hurtado,18021999,85,13,85,30,1
CE,6330579197,María Rodríguez,19081927,66,26,66,78,0
TI,4495358126,Melissa Murillo,16032005,27,77,27,43,1
CE,6060453182,María Perez,07051941,11,55,11,81,1
CE,5334328478,Sofía Hurtado,04021954,81,19,81,1,0
TI,8060460640,Daniela Hernández,28101960,50,88,50,11,0
TI,3793060037,Miguel Rodríguez,02011993,18,31,18,52,1
TI,2929668415,Ana García,23111985,41,19,41,16,0
CC,2181742075,Manuela Martínez,25011928,76,4,76,60,1
TI,9925720763,Gabriela Perez,15081924,85,15,85,40,0
TI,7260221788,Ana López,03021962,91,88,91,30,1
TI,3577153627,Gabriela Cifuentes,22091994,73,38,73,54,0
CC,9548663697,María Hurtado,17061948,17,6,17,58,1
TI,2452424458,Miguel López,07071986,94,38,94,60,1
CC,4744252196,Carlos Perez,02061942,66,93,66,100,0
CE,6844664073,Daniela Perez,14051941,88,62,88,13,0
CE,5243183895,Melissa Murillo,21041923,5,75,5,43,1
TI,1621935900,María López,04041998,86,59,86,41,1
TI,4472738752,Laura García,25021962,66,21,66,45,1
CE,5161965918,Marcela Castaneda,17021958,85,100,85,40,0
CE,8107194897,Miguel Hurtado,03121966,41,42,41,11,1
CC,9723016403,David González,16011948,23,25,23,22,1
CC,6478492288,María Murillo,25121913,41,4,41,3,0
TI,6522760592,Miguel Murillo,17071994,44,88,44,11,0
CC,1660880738,Daniela Perez,15081940,66,75,66,32,0
TI,5990354877,Melissa Cifuentes,20122005,41,83,41,30,1
CC,0142234968,Daniela Cifuentes,03121939,94,31,94,79,1
TI,5069549833,Gabriela Cifuentes,21071937,41,11,41,54,1
TI,2209743881,Juan Hernández,27121929,13,41,13,44,1
CE,5735165318,Miguel Cartagena,16011934,25,13,25,65,0
CE,4456347135,Luis Perez,15071981,85,77,85,87,0
CC,4521179238,Juan Castaneda,03101927,41,40,41,26,1
TI,8358812355,Marcela Perez,10041932,18,3,18,78,1
TI,8786812523,David Castaneda,09062004,97,45,97,43,1
CC,7812813773,Carlos Cifuentes,13031960,70,59,70,58,0
TI,1212642544,Daniela Hurtado,13091970,91,41,91,44,0
CC,4684595719,Marcela Hurtado,25111985,8,99,8,90,1
CC,9070022390,Marcela Castaneda,05022009,94,19,94,19,0
CC,7223187679,Carlos Perez,01091997,44,25,44,98,0
TI,9045165172,Sofía Cifuentes,16091945,8,20,8,90,1
CE,0900806014,Ana Cartagena,09091953,17,60,17,60,0
CE,0460054891,Juan Rodríguez,28091946,95,97,95,52,1
CE,1496755913,Ana López,15091962,52,67,52,16,0
CE,3312691566,Ana García,05032002,8,50,8,74,0
CE,4660019069,Marcela García,26121927,20,1,20,97,1
CE,9745016319,David Castaneda,06011909,86,47,86,34,0
CE,3101773183,Laura Murillo,11111926,63,41,63,15,1
CE,3669665346,Daniela Hernández,21102000,94,44,94,42,1
TI,3142681861,Miguel López,01121958,86,50,86,83,0
TI,0328193925,Gabriela Murillo,11101938,8,99,8,21,1
CE,2772673979,Manuela Castaneda,26031981,76,31,76,34,0
TI,5440622065,Melissa Rodríguez,28121986,50,42,50,74,0
TI,8625405578,David Martínez,02011968,73,38,73,1,1
CC,8990792254,Melissa Perez,14031989,95,88,95,16,0
TI,1475907075,David Hurtado,28021973,44,32,44,51,1
CC,4753688991,Carlos González,04021950,63,34,63,20,1
CE,9389871780,David López,20101952,81,21,81,87,1
CC,5016758685,Manuela Rodríguez,22111943,52,15,52,2,1
TI,3295171301,Carlos Cartagena,20122003,11,95,11,32,1
CC,4631869699,Laura Hurtado,25061997,97,94,97,68,1
CC,3468703181,Marcela Murillo,06021959,63,44,63,60,0
CC,7141732436,Melissa Rodríguez,04081992,85,16,85,54,1
TI,9014177271,Gabriela Perez,07071967,11,20,11,77,0
CE,2805350779,Sofía González,27021975,88,50,88,51,0
CE,7640777200,Manuela Hurtado,16111943,17,20,17,22,0
TI,7820625817,Laura Martínez,22011982,91,86,91,92,0
TI,9377160035,Laura López,25101956,91,20,91,21,1
CC,2430590443,Miguel Rodríguez,22071973,50,44,50,2,0
TI,4025954247,Daniela Rodríguez,11072008,25,95,25,24,1
CE,9542037041,Manuela Hurtado,14091949,76,65,76,93,0
CC,0259989778,Sofía Rodríguez,01012000,91,25,91,47,1
CC,3688512941,Luis Hernández,20021939,25,92,25,86,0
CC,8623465756,David Cartagena,21121981,23,21,23,29,1
CC,0622837251,María Cifuentes,02021980,13,16,13,95,0
TI,5870567143,Gabriela Rodríguez,28011942,11,59,11,52,1
